objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
,140.jpg,150 years of Iowa State University from 1858 to 2008,,,,,,,,,,,,,,,,,,,,
,1907class.jpg,"Members of the Class of 1907 celebrate their 20th reunion, 1927",,,,,,,,,,,,,,,,,,,,
,Act91p1.jpg,"State of Iowa Legislative Act 91, 1858, page 1",,,,,,,,,,,,,,,,,,,,
,Act91p2.jpg,"State of Iowa Legislative Act 91, 1858, page 2",,,,,,,,,,,,,,,,,,,,
,Beardshear.jpg,William M. Beardshear,,,,,,,,,,,,,,,,,,,,
,Bessey-Charles.jpg,Charles Edwin Bessey,,,,,,,,,,,,,,,,,,,,
,Bevierhouse.jpg,"Bevier House, the first Experiment Station Building",,,,,,,,,,,,,,,,,,,,
,Bomb1894_ver7.pdf,The Bomb yearbook 1894,,,,,,,,,,,,,,,,,,,,
,Bomb1895_ver7.pdf,The Bomb yearbook 1895,,,,,,,,,,,,,,,,,,,,
,Buchele1.mp3,Wesley F. Buchele oral history,,,,,,,,,,,,,,,,,,,,
,Buck-Griffith-1966.jpg,Griffith J. Buck,,,,,,,,,,,,,,,,,,,,
,budd.jpg,Joseph Lancaster Budd ,,,,,,,,,,,,,,,,,,,,
,campus-1870.jpg,"Iowa State Campus, 1870",,,,,,,,,,,,,,,,,,,,
,campus-1893.jpg,"Iowa State Campus, 1893",,,,,,,,,,,,,,,,,,,,
,campus-1911.jpg,"Iowa State Campus, 1911",,,,,,,,,,,,,,,,,,,,
,campus-1913.jpg,"Iowa State Campus, 1913",,,,,,,,,,,,,,,,,,,,
,campus-1922.jpg,"Birds-eye view of Iowa State, 1922",,,,,,,,,,,,,,,,,,,,
,campus-ca1940s.jpg,Campus circa 1940s,,,,,,,,,,,,,,,,,,,,
,catt.jpg,Carrie Chapman Catt,,,,,,,,,,,,,,,,,,,,
,Chamberlain.jpg,William Chamberlain,,,,,,,,,,,,,,,,,,,,
,Charles-Harvey-Brown-1922-1.jpg,Charles Harvey Brown,,,,,,,,,,,,,,,,,,,,
,Cherrypie-1947.jpg,"Students making cherry pies for VEISHEA, 1947",,,,,,,,,,,,,,,,,,,,
,Christian-Petersen-in-studi.jpg,Christian Petersen,,,,,,,,,,,,,,,,,,,,
,classname-1904.jpg,Katinas class name 1904,,,,,,,,,,,,,,,,,,,,
,coburnhouse.jpg,Coburn House,,,,,,,,,,,,,,,,,,,,
,Cy-and-cheerleaders-1954.jpg,Cy the Cardinal with cheerleaders,,,,,,,,,,,,,,,,,,,,
,Cyclone-football-team-1895.jpg,"Cyclone Football Team, 1895",,,,,,,,,,,,,,,,,,,,
,Eaton-1986.jpg,Gordon Eaton,,,,,,,,,,,,,,,,,,,,
,Englishofficebuilding.jpg,English Office Building,,,,,,,,,,,,,,,,,,,,
,First-100-Years-of-Residential-Housing.pdf,First 100 Years of Residential Housing at Iowa State University,,,,,,,,,,,,,,,,,,,,
,Flu1918.jpg,State Gym during the influenza epidemic of 1918,,,,,,,,,,,,,,,,,,,,
,Forker-Barbara-1955.jpg,Barbara Ellen Forker,,,,,,,,,,,,,,,,,,,,
,Friley-Charles.jpg,Charles Edwin Friley,,,,,,,,,,,,,,,,,,,,
,Geoffroy.jpg,Gregory Geoffroy,,,,,,,,,,,,,,,,,,,,
,Grim1.mp3,Valerie Grim oral history,,,,,,,,,,,,,,,,,,,,
,gue.jpg,Benjamin G. Gue,,,,,,,,,,,,,,,,,,,,
,Hayden-Ada-1926-2.jpg,Ada Hayden,,,,,,,,,,,,,,,,,,,,
,hilton-copy.jpg,James H. Hilton,,,,,,,,,,,,,,,,,,,,
,Holden-Perry.jpg,Perry G. Holden,,,,,,,,,,,,,,,,,,,,
,Hughes-Raymond-1930.jpg,Raymond M. Hughes,,,,,,,,,,,,,,,,,,,,
,Hunt.jpg,Leigh S.J. Hunt,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Aerospace Laboratory - Armory.pdf,ISU Campus and Its Buildings - Aerospace Laboratory - Armory,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Appendices.pdf,ISU Campus and Its Buildings - Appendices,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Athletic.pdf,ISU Campus and Its Buildings - Athletic,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Barton-Building B.pdf,ISU Campus and Its Buildings - Barton-Building B,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Campanile-Curtiss.pdf,ISU Campus and Its Buildings - Campanile-Curtiss,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Campus Planning.pdf,ISU Campus and Its Buildings - Campus Planning,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - dairy-experiment.pdf,ISU Campus and Its Buildings - dairy-experiment,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Fairoak-Fruit Shed.pdf,ISU Campus and Its Buildings - Fairoak-Fruit Shed,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Gables-Judging Pavilion.pdf,ISU Campus and Its Buildings - Gables-Judging Pavilion,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Introduction.pdf,ISU Campus and Its Buildings - Introduction,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Kildee-McKay.pdf,ISU Campus and Its Buildings - Kildee-McKay,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Land.pdf,ISU Campus and Its Buildings - Land,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Main-Memorial Union.pdf,ISU Campus and Its Buildings - Main-Memorial Union,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Maps.pdf,ISU Campus and Its Buildings - Maps,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Metallurgy-Pearson.pdf,ISU Campus and Its Buildings - Metallurgy-Pearson,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Minor Buildings.pdf,ISU Campus and Its Buildings - Minor Buildings,,,,,,,,,,,,,,,,,,,,
